cycle,phase,beta,phi_before,phi,delta_phi,mismatch_edges,active_edges_before_repair,repair_budget,chosen_edges,sector_edges_changed,mismatch_definition,committed_records,committed_fraction,record_packet_entropy,modular_depth_mean,modular_depth_std,observer_readback_drive_edges,private_spend_actions,shared_spend_actions,total_repair_actions,class_conformance_ok,sampled_transaction_ok
0,exploration,0.05,326053,324739,-1314,324739,326053,1314,1314,94,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.5000875662189841,0.2888732580589868,1173,1220,94,1314,True,True
1,exploration,0.052296773575815116,324737,323456,-1281,323456,324737,1281,1281,118,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.4999075647057374,0.2882534076395822,1173,1163,118,1281,True,True
2,exploration,0.05469905052880149,323444,322203,-1241,322203,323444,1241,1241,94,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.4997276279377726,0.2876389678537679,1173,1147,94,1241,True,True
3,exploration,0.057211677206336034,322224,321017,-1207,321017,322224,1207,1207,72,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.4995477558887838,0.2870304104404515,1173,1135,72,1207,True,True
4,exploration,0.05983972257504758,321018,319827,-1191,319827,321018,1191,1191,93,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.4993679485281299,0.2864278221389664,1173,1098,93,1191,True,True
5,exploration,0.0625884884469371,319843,318639,-1204,318639,319843,1204,1204,98,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.4991882058105114,0.28583228256933274,1173,1106,98,1204,True,True
6,exploration,0.0654635201752398,318657,317409,-1248,317409,318657,1248,1248,127,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.4990085277275972,0.285243640486297,1173,1121,127,1248,True,True
7,exploration,0.06847061784160642,317410,316089,-1321,316089,317410,1321,1321,115,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.4988289142752978,0.28466100605004985,1173,1206,115,1321,True,True
8,exploration,0.07161584795717316,316106,314693,-1413,314693,316106,1413,1413,111,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.49864936540897387,0.2840838525866041,1173,1302,111,1413,True,True
9,exploration,0.07490555570112571,314725,313178,-1547,313178,314725,1547,1547,107,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.49846988114426405,0.2835135595716703,1173,1440,107,1547,True,True
10,exploration,0.07834637772144759,313187,311475,-1712,311475,313187,1712,1712,138,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.498290461446774,0.2829495598077277,1173,1574,138,1712,True,True
11,exploration,0.0819452555236766,311491,309631,-1860,309631,311491,1860,1860,143,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.49811110632689926,0.28239193357171877,1173,1717,143,1860,True,True
12,exploration,0.08570944947468057,309663,307686,-1977,307686,309663,1977,1977,165,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.49793181581282275,0.2818396272346105,1173,1812,165,1977,True,True
13,exploration,0.08964655344970272,307732,305675,-2057,305675,307732,2057,2057,152,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.49775258987623033,0.2812911939606532,1173,1905,152,2057,True,True
14,exploration,0.09376451015222621,305728,303625,-2103,303625,305728,2103,2103,159,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.49757342852876935,0.2807502541068551,1173,1944,159,2103,True,True
15,exploration,0.09807162713756384,303668,301539,-2129,301539,303668,2129,2129,171,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.4973943317754882,0.2802147995452145,1173,1958,171,2129,True,True
16,exploration,0.10257659357249882,301598,299441,-2157,299441,301598,2157,2157,183,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.49721529959598143,0.2796847349987129,1173,1974,183,2157,True,True
17,exploration,0.10728849776478769,299500,297289,-2211,297289,299500,2211,2211,176,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.497036331947584,0.27916175762751644,1173,2035,176,2211,True,True
18,exploration,0.11221684549788896,297364,295051,-2313,295051,297364,2313,2313,171,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.49685742881926964,0.27864594882286603,1173,2142,171,2313,True,True
19,exploration,0.11737157920790656,295122,292647,-2475,292647,295122,2475,2475,172,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.49667859016683424,0.2781356453674608,1173,2303,172,2475,True,True
20,exploration,0.12276309804143476,292714,290020,-2694,290020,292714,2694,2694,225,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.49649981597109305,0.27763160600095244,1173,2469,225,2694,True,True
21,exploration,0.12840227883477012,290071,287118,-2953,287118,290071,2953,2953,230,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.49632110624969006,0.2771334594809971,1173,2723,230,2953,True,True
22,exploration,0.13430049805681302,287208,283986,-3222,283986,287208,3222,3222,259,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.49614246098330766,0.27664239806586244,1173,2963,259,3222,True,True
23,exploration,0.14046965475992698,284067,280601,-3466,280601,284067,3466,3466,274,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.4959638801999361,0.2761584166790681,1173,3192,274,3466,True,True
24,exploration,0.14692219458505643,280690,277038,-3652,277038,280690,3652,3652,274,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.49578536389032996,0.2756821890148165,1173,3378,274,3652,True,True
25,exploration,0.15367113486953093,277135,273376,-3759,273376,277135,3759,3759,307,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.4956069119887252,0.27521064506689863,1173,3452,307,3759,True,True
26,exploration,0.1607300909082081,273508,269727,-3781,269727,273508,3781,3781,296,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.4954285244829939,0.27474399610779604,1173,3485,296,3781,True,True
27,exploration,0.1681133034209348,269832,266097,-3735,266097,269832,3735,3735,300,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.49525020131982483,0.2742824755836367,1173,3435,300,3735,True,True
28,exploration,0.17583566728173863,266222,262572,-3650,262572,266222,3650,3650,300,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.49507194248396746,0.27382600232917037,1173,3350,300,3650,True,True
29,exploration,0.18391276156770897,262705,259136,-3569,259136,262705,3569,3569,261,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.4948937479179478,0.273375647848259,1173,3308,261,3569,True,True
30,exploration,0.19236088098818696,259240,255710,-3530,255710,259240,3530,3530,267,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.4947156175533598,0.2729315087127442,1173,3263,267,3530,True,True
31,exploration,0.2011970687576707,255850,252288,-3562,252288,255850,3562,3562,297,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.49453755139324385,0.27249219512150175,1173,3265,297,3562,True,True
32,exploration,0.21043915097875218,252419,248744,-3675,248744,252419,3675,3675,307,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.4943595494729342,0.2720589776044019,1173,3368,307,3675,True,True
33,exploration,0.2201057726044515,248885,245029,-3856,245029,248885,3856,3856,289,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.4941816117482666,0.2716302031908298,1173,3567,289,3856,True,True
34,exploration,0.23021643505249703,245166,241094,-4072,241094,245166,4072,4072,337,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.49400373814984777,0.27120628034954103,1173,3735,337,4072,True,True
35,exploration,0.24079153554743568,241248,236970,-4278,236970,241248,4278,4278,362,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.4938259286062783,0.27078842221759414,1173,3916,362,4278,True,True
36,exploration,0.2518524082699416,237129,232700,-4429,232700,237129,4429,4429,375,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.49364818311617864,0.27037734811986563,1173,4054,375,4429,True,True
37,exploration,0.26342136739633765,232897,228395,-4502,228395,232897,4502,4502,385,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.493470501658145,0.269969734236856,1173,4117,385,4502,True,True
38,exploration,0.27552175211515756,228587,224106,-4481,224106,228587,4481,4481,363,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.4932928841418548,0.26956706831429406,1173,4118,363,4481,True,True
39,exploration,0.2881779737115651,224306,219933,-4373,219933,224306,4373,4373,347,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.49311533052899376,0.26916691963489814,1173,4026,347,4373,True,True
40,exploration,0.3014155648146184,220171,215970,-4201,215970,220171,4201,4201,352,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.4929378408477936,0.2687719891250689,1173,3849,352,4201,True,True
41,exploration,0.31526123090673047,216161,212156,-4005,212156,216161,4005,4005,340,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.49276041506965185,0.2683819885114639,1173,3665,340,4005,True,True
42,exploration,0.3297429041992411,212372,208542,-3830,208542,212372,3830,3830,314,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.4925830532136243,0.26799744673360004,1173,3516,314,3830,True,True
43,exploration,0.3448897999827882,208792,205077,-3715,205077,208792,3715,3715,300,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.4924057551976829,0.2676188762234062,1173,3415,300,3715,True,True
44,exploration,0.3607324755661607,205312,201623,-3689,201623,205312,3689,3689,308,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.4922285210612102,0.26724669990822175,1173,3381,308,3689,True,True
45,exploration,0.3773028919225353,201868,198113,-3755,198113,201868,3755,3755,276,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.492051350787395,0.26687992616791584,1173,3479,276,3755,True,True
46,exploration,0.39463447816746156,198360,194460,-3900,194460,198360,3900,3900,334,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.49187424434517435,0.26652020994307807,1173,3566,334,3900,True,True
47,exploration,0.4127621989986738,194745,190656,-4089,190656,194745,4089,4089,343,left_equals_g_ij_times_right_v1,3,4.57763671875e-05,1.0986122886681096,0.4916972017442513,0.2661660506485744,1173,3746,343,4089,True,True
48,exploration,0.4317226252337836,190933,186653,-4280,186653,190933,4280,4280,294,left_equals_g_ij_times_right_v1,3,4.57763671875e-05,1.0986122886681096,0.49152022294326625,0.26581731922759755,1173,3986,294,4280,True,True
49,exploration,0.4515540075881534,186915,182486,-4429,182486,186915,4429,4429,389,left_equals_g_ij_times_right_v1,3,4.57763671875e-05,1.0986122886681096,0.4913433079217797,0.2654732435188252,1173,4040,389,4429,True,True
50,exploration,0.47229635384179125,182782,178280,-4502,178280,182782,4502,4502,339,left_equals_g_ij_times_right_v1,4,6.103515625e-05,1.3862943611198906,0.49116645666164543,0.2651313194852305,1173,4163,339,4502,True,True
51,exploration,0.49399150955094423,178573,174092,-4481,174092,178573,4481,4481,366,left_equals_g_ij_times_right_v1,6,9.1552734375e-05,1.7917594692280547,0.4909896691584144,0.2647928609149371,1173,4115,366,4481,True,True
52,exploration,0.5166832424672169,174398,170025,-4373,170025,174398,4373,4373,310,left_equals_g_ij_times_right_v1,6,9.1552734375e-05,1.7917594692280547,0.4908129453792396,0.26445726019196825,1173,4063,310,4373,True,True
53,exploration,0.5404173308345204,170315,166114,-4201,166114,170315,4201,4201,336,left_equals_g_ij_times_right_v1,9,0.0001373291015625,2.1972245773362196,0.4906362853473686,0.26412507150480313,1173,3865,336,4201,True,True
54,exploration,0.5652416557419858,166424,162419,-4005,162419,166424,4005,4005,336,left_equals_g_ij_times_right_v1,14,0.000213623046875,2.639057329615258,0.49045968903310433,0.26379709164956494,1173,3669,336,4005,True,True
55,exploration,0.5912062977191493,162744,158914,-3830,158914,162744,3830,3830,317,left_equals_g_ij_times_right_v1,16,0.000244140625,2.772588722239781,0.4902831563496415,0.26347406741937557,1173,3513,317,3830,True,True
56,exploration,0.6183636377682858,159215,155500,-3715,155500,159215,3715,3715,319,left_equals_g_ij_times_right_v1,17,0.0002593994140625,2.833213344056216,0.4901066873277037,0.2631561976066305,1173,3396,319,3715,True,True
57,exploration,0.646768463037708,155808,152119,-3689,152119,155808,3689,3689,303,left_equals_g_ij_times_right_v1,17,0.0002593994140625,2.833213344056216,0.48993028196765454,0.2628396537005821,1173,3386,303,3689,True,True
58,exploration,0.6764780773492194,152450,148695,-3755,148695,152450,3755,3755,305,left_equals_g_ij_times_right_v1,18,0.000274658203125,2.890371757896165,0.4897539402746271,0.2625281739650621,1173,3450,305,3755,True,True
59,exploration,0.7075524168026974,149003,145103,-3900,145103,149003,3900,3900,336,left_equals_g_ij_times_right_v1,23,0.0003509521484375,3.1354942159291497,0.4895776621558206,0.2622189008456453,1173,3564,336,3900,True,True
60,exploration,0.7400541706910286,145444,141355,-4089,141355,145444,4089,4089,346,left_equals_g_ij_times_right_v1,25,0.0003814697265625,3.2188758248682,0.4894014475663794,0.2619093170222628,1173,3743,346,4089,True,True
61,exploration,0.774048907969327,141701,137421,-4280,137421,141701,4280,4280,306,left_equals_g_ij_times_right_v1,39,0.0005950927734375,3.6635616461296445,0.4892252965224948,0.2616029952348795,1173,3974,306,4280,True,True
62,exploration,0.8096052095335772,137818,133389,-4429,133389,137818,4429,4429,353,left_equals_g_ij_times_right_v1,47,0.0007171630859375,3.850147601710058,0.48904920902871096,0.2612948102184208,1173,4076,353,4429,True,True
63,exploration,0.8467948065755568,133732,129230,-4502,129230,133732,4502,4502,421,left_equals_g_ij_times_right_v1,59,0.0009002685546875,4.077537443905719,0.4888731850671828,0.26098698079975136,1173,4081,421,4502,True,True
64,exploration,0.8856927252931611,129606,125125,-4481,125125,129606,4481,4481,369,left_equals_g_ij_times_right_v1,69,0.0010528564453125,4.234106504597258,0.488697224655865,0.2606792297353202,1173,4112,369,4481,True,True
