cycle,phase,beta,phi_before,phi,delta_phi,mismatch_edges,active_edges_before_repair,repair_budget,chosen_edges,sector_edges_changed,mismatch_definition,committed_records,committed_fraction,record_packet_entropy,modular_depth_mean,modular_depth_std,observer_readback_drive_edges,private_spend_actions,shared_spend_actions,total_repair_actions,class_conformance_ok,sampled_transaction_ok
0,exploration,0.05,102415,20495,-81920,20495,102415,81920,81920,0,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.49982145670550937,0.2878023827497507,0,81920,0,81920,True,True
1,exploration,0.07313266864446927,20495,0,-20495,0,20495,81920,20495,0,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.4996415209810953,0.28718209654593096,0,20495,0,20495,True,True
2,exploration,0.10696774446123476,0,0,0,0,0,81920,0,0,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.49946165003354215,0.2865637698084062,0,0,0,0,True,True
3,exploration,0.15645673222659492,0,0,0,0,0,81920,0,0,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.49928184383953,0.2859473956180599,0,0,0,0,True,True
4,exploration,0.22884196710248045,0,0,0,0,0,81920,0,0,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.49910210237574787,0.2853329670798826,0,0,0,0,True,True
5,exploration,0.3347164750410847,0,0,0,0,0,81920,0,0,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.4989224256188926,0.2847204773228913,0,0,0,0,True,True
6,exploration,0.4895741811804885,0,0,0,0,0,81920,0,0,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.4987428135456698,0.2841099195000485,0,0,0,0,True,True
7,exploration,0.7160773273832004,0,0,0,0,0,81920,0,0,left_equals_g_ij_times_right_v1,47412,0.578759765625,10.766572161571148,0.49856326613279334,0.283501286788182,0,0,0,0,True,True
8,exploration,1.0473729181466547,0,0,0,0,0,81920,0,0,left_equals_g_ij_times_right_v1,81920,1.0,11.313430750118982,0.4983837833569855,0.28289457238790483,0,0,0,0,True,True
9,exploration,1.5319435314002026,0,0,0,0,0,81920,0,0,left_equals_g_ij_times_right_v1,81920,1.0,11.313430750118982,0.49820436519497696,0.2822897695235355,0,0,0,0,True,True
10,exploration,2.240702373278582,0,0,0,0,0,81920,0,0,left_equals_g_ij_times_right_v1,81920,1.0,11.313430750118982,0.49802501162350676,0.2816868714430185,0,0,0,0,True,True
11,exploration,3.2773708839171682,0,0,0,0,0,81920,0,0,left_equals_g_ij_times_right_v1,81920,1.0,11.313430750118982,0.4978457226193223,0.2810858714178451,0,0,0,0,True,True
12,exploration,4.793657577570914,0,0,0,0,0,81920,0,0,left_equals_g_ij_times_right_v1,81920,1.0,11.313430750118982,0.4976664981591794,0.28048676274297435,0,0,0,0,True,True
13,exploration,7.011459424310859,0,0,0,0,0,81920,0,0,left_equals_g_ij_times_right_v1,81920,1.0,11.313430750118982,0.4974873382198421,0.27988953873675454,0,0,0,0,True,True
14,exploration,10.255334775845345,0,0,0,0,0,81920,0,0,left_equals_g_ij_times_right_v1,81920,1.0,11.313430750118982,0.49730824277808294,0.27929419274084477,0,0,0,0,True,True
15,exploration,15.0,0,0,0,0,0,81920,0,0,left_equals_g_ij_times_right_v1,81920,1.0,11.313430750118982,0.4971292118106828,0.2787007181201369,0,0,0,0,True,True
